100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	
50.000	58.301	58.215	57.324	56.781	56.534	56.435	56.398	56.385	56.381	56.379	57.160	59.959	62.039	50.000	
50.000	40.295	34.314	31.157	29.688	29.064	28.816	28.722	28.688	28.676	28.671	30.037	35.527	44.388	50.000	
50.000	32.837	22.740	17.611	15.252	14.241	13.832	13.673	13.614	13.592	13.584	15.242	22.414	35.822	50.000	
50.000	29.901	17.672	11.311	8.319	7.007	6.462	6.245	6.161	6.130	6.118	7.896	15.913	31.693	50.000	
50.000	28.798	15.602	8.592	5.224	3.715	3.074	2.813	2.710	2.670	2.655	4.478	12.870	29.753	50.000	
50.000	28.399	14.799	7.481	3.916	2.294	1.594	1.303	1.186	1.140	1.123	2.960	11.505	28.869	50.000	
50.000	28.260	14.500	7.047	3.386	1.706	0.972	0.663	0.538	0.488	0.468	2.310	10.915	28.478	50.000	
50.000	28.213	14.392	6.883	3.180	1.470	0.719	0.400	0.270	0.217	0.197	2.040	10.666	28.310	50.000	
50.000	28.197	14.354	6.823	3.101	1.379	0.618	0.295	0.161	0.107	0.086	1.929	10.564	28.239	50.000	
50.000	28.192	14.341	6.802	3.072	1.344	0.580	0.254	0.119	0.064	0.042	1.885	10.523	28.210	50.000	
50.000	29.753	17.071	10.114	6.626	4.987	4.253	3.937	3.804	3.750	3.729	5.572	14.210	31.902	50.000	
50.000	38.476	30.655	25.911	23.339	22.057	21.456	21.188	21.073	21.024	21.005	22.849	31.487	43.278	50.000	
50.000	60.170	60.262	58.817	57.677	57.012	56.671	56.508	56.435	56.403	56.389	58.236	62.361	63.910	50.000	
100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	100.000	

